"x"
"1"	741
"2"	806
"3"	7809
"4"	9249
"5"	2660
"6"	5305
"7"	5451
"8"	3098
"9"	3806
"10"	9343
"11"	9767
"12"	4867
"13"	3113
"14"	9834
"15"	5622
"16"	8604
"17"	3289
"18"	5574
"19"	6882
"20"	1283
"21"	3978
"22"	5819
"23"	8196
"24"	3154
"25"	9998
"26"	774
"27"	8616
"28"	7095
"29"	8766
"30"	8754
"31"	2515
"32"	722
"33"	5194
"34"	6243
"35"	5528
"36"	1979
"37"	2281
"38"	2603
"39"	5744
"40"	1517
"41"	2180
"42"	3031
"43"	1992
"44"	6332
"45"	6475
"46"	4069
"47"	4760
"48"	7172
"49"	4870
"50"	4592
"51"	2895
"52"	9635
"53"	4720
"54"	9925
"55"	2359
"56"	3366
"57"	8565
"58"	2887
"59"	1478
"60"	5457
"61"	151
"62"	9538
"63"	5638
"64"	7092
"65"	549
"66"	6844
"67"	7318
"68"	10000
"69"	829
"70"	7561
"71"	5044
"72"	6533
"73"	1310
"74"	5011
"75"	6937
"76"	3417
"77"	5929
"78"	1377
"79"	9608
"80"	5488
"81"	4952
"82"	4310
"83"	5808
"84"	3743
"85"	2872
"86"	2623
"87"	2129
"88"	1889
"89"	1148
"90"	9543
"91"	7215
"92"	2247
"93"	2788
"94"	6507
"95"	7448
"96"	4651
"97"	1139
"98"	6930
"99"	5653
"100"	6715
"101"	1123
"102"	2224
"103"	6824
"104"	7465
"105"	6756
"106"	4189
"107"	3345
"108"	8737
"109"	7252
"110"	3692
"111"	2979
"112"	2353
"113"	9313
"114"	7381
"115"	3095
"116"	6381
"117"	10229
"118"	3144
"119"	6741
"120"	7501
"121"	5404
"122"	7674
"123"	4675
"124"	7470
"125"	9855
"126"	9283
"127"	2837
"128"	9875
"129"	9711
"130"	6346
"131"	7237
"132"	1760
"133"	282
"134"	2974
"135"	8712
"136"	6510
"137"	8155
"138"	7065
"139"	2475
"140"	2957
"141"	6862
"142"	2946
"143"	374
"144"	7678
"145"	1383
"146"	7118
"147"	4458
"148"	9952
"149"	7627
"150"	3599
"151"	6309
"152"	9127
"153"	125
"154"	6189
"155"	6428
"156"	4284
"157"	3255
"158"	8317
"159"	6019
"160"	3241
"161"	6790
"162"	6398
"163"	7746
"164"	9312
"165"	9692
"166"	6967
"167"	3005
"168"	4946
"169"	2311
"170"	5634
"171"	9509
"172"	7772
"173"	1399
"174"	200
"175"	6180
"176"	1900
"177"	1962
"178"	8993
"179"	5093
"180"	7916
"181"	4509
"182"	8831
"183"	2365
"184"	3818
"185"	2653
"186"	7280
"187"	10153
"188"	4000
"189"	8066
"190"	2770
"191"	6375
"192"	3538
"193"	7337
"194"	2399
"195"	10067
"196"	441
"197"	3825
"198"	7435
"199"	3036
"200"	2564
"201"	8277
"202"	4113
"203"	10159
"204"	2024
"205"	1366
"206"	6828
"207"	5858
"208"	10275
"209"	9442
"210"	4937
